Reporting Year,Project Title,Country ,Region,Public/Private,Technology Focus,Specific Technology,CTF funding (USD millions),MDB,Lifetime,"Expected GHG reductions (lifetime, tCO2)","Expected GHG reductions (annual, tCO2/ yr.)","Expected Co-financing (total, US$m)","Expected Co-financing (MDB, US$m)","Expected Co-financing (govt., US$m)","Expected Co-financing (pvt., US$m)","Expected Co-financing (bilateral, US$m)","Expected Co-financing (others, US$m)","Expected Installed capacity (total, MW)","Expected Installed capacity (wind, MW)","Expected Installed capacity (solar, MW)","Expected Installed capacity (hydro, MW)","Expected Installed capacity (geothermal, MW)","Expected Installed capacity (mixed, MW)","Expected Additional passengers (upon implementation, passengers per day)","Expected Energy savings (annual, GWh/ yr.)","Actual Latest Year GHG reductions (annual, tCO2/ yr.)","Actual Latest Year Co-financing (total, US$m)","Actual Latest Year Co-financing (MDB, US$m)","Actual Latest Year Co-financing (govt., US$m)","Actual Latest Year Co-financing (pvt., US$m)","Actual Latest Year Co-financing (bilateral, US$m)","Actual Latest Year Co-financing (others, US$m)","Actual Latest Year Installed capacity (total, MW)","Actual Latest Year Installed capacity (wind, MW)","Actual Latest Year Installed capacity (solar, MW)","Actual Latest Year Installed capacity (hydro, MW)","Actual Latest Year Installed capacity (geothermal, MW)","Actual Latest Year Installed capacity (mixed, MW)","Actual Latest Year Additional passengers (upon implementation, passengers per day)","Actual Latest Year Energy savings (annual, GWh/ yr.)","Cumulative GHG reductions (annual, tCO2/ yr.)","Cumulative Co-financing (total, US$m)","Cumulative Co-financing (MDB, US$m)","Cumulative Co-financing (govt., US$m)","Cumulative Co-financing (pvt., US$m)","Cumulative Co-financing (bilateral, US$m)","Cumulative Co-financing (others, US$m)","Cumulative Installed capacity (total, MW)","Cumulative Installed capacity (wind, MW)","Cumulative Installed capacity (solar, MW)","Cumulative Installed capacity (hydro, MW)","Cumulative Installed capacity (geothermal, MW)","Cumulative Installed capacity (mixed, MW)","Cumulative Additional passengers (upon implementation, passengers per day)","Cumulative Energy savings (annual, GWh/ yr.)",Fund
2019,Rajasthan Renewable Energy Transmission Investment Program (Multi-tranche Financing Facility / MFF),India,ASIA,Public,Renewable Energy,RE-Solar,200.00,ADB,25,135000000,5400000,600,300,300,0,0,0,4300,0,0,0,0,4300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.956,43.956,0,0,0,0,0,0,0,0,0,0,0,0,CTF
2019,Shared Infrastructure for Solar Parks,India,ASIA,Public,Renewable Energy,RE-Solar,50.00,IBRD,25,60100000,2400000,0,0,100,0,0,1828,0,0,0,0,0,0,0,0,342000,0,0,0,0,0,0,280,0,280,0,0,0,0,0,684000,759.74,4.74,0,0,0,755,530,0,530,0,0,0,0,0,CTF
2019,Grid-Connected Rooftop Solar Program,India,ASIA,Public,Renewable Energy,RE-Solar,125.00,IBRD,25,13000000,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.37,21.34,0,0,0,0.03,0,0,0,0,0,0,0,0,0,297.34,188.64,0,0,0,108.74,60,0,60,0,0,0,0,0,CTF
2019,Innovations in Solar Power and Hybrid Technologies,India,ASIA,Public,Renewable Energy,RE-Solar,50.00,IBRD,25,11900000,480000,420,150,200,0,0,70,400,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTF
2019,Solar Rooftop Investment Program Guaranteed by India,India,ASIA,Public,Renewable Energy,RE-Solar,175.00,ADB,25,11042500,441700,830,330,0,200,0,300,400,0,400,0,0,0,0,0,5521,0,0,0,0,0,0,5,0,5,0,0,0,0,0,5521,25,25,0,0,0,0,9,0,9,0,0,0,0,0,CTF
2019,Proposed Loan Power Grid Corporation of India Limited Solar Power Transmission Sector Project Guaranteed by India,India,ASIA,Public,Renewable Energy,RE-Solar,50.00,ADB,25,176506825,7060273,400,175,225,0,0,0,4200,0,4200,0,0,0,0,0,0,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,CTF
2019,One Wind Energy Plan,Morocco,AFR,Public,Renewable Energy,RE-Wind,125.00,AfDB,20,80950000,4047500,1695,512,54.41,570.98,132,122,1100,750,0,350,0,0,0,0,0,0,29.9,0,0,0,0,0,0,0,0,0,0,0,0,0,147,220.5,0,0,0,0,0,0,0,0,0,0,0,0,CTF
2019,Clean and Efficient Energy Project,Morocco,AFR,Public,Renewable Energy,RE-Solar,25.00,IBRD,25,1950000,78018,129.05,125,4,0,0,0,75,0,75,0,0,0,0,0,0,-0.31,-0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,72.24,74.62,0,0,0,0,0,0,0,0,0,0,0,0,CTF
2019,Ouarzazate I Concentrated Solar Power Project,MENA-CSP,AFR,Public,Renewable Energy,RE-Solar,197.00,IBRD + AfDB,25,6000000,240000,1230,445,0,0,406,379,160,0,160,0,0,0,0,0,254800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767155,696.54,133.5161628,0,125.9473547,265.2,172.3490116,160,0,160,0,0,0,0,0,CTF
2019,Noor II and III Concentrated Solar Power Project,MENA-CSP,AFR,Public,Renewable Energy,RE-Solar,238.00,IBRD + AfDB,25,13000000,521670,2439,535,357,0,1547,0,350,0,350,0,0,0,0,0,323153,0,2.27,0,0,0,0,350,0,350,0,0,0,0,0,323153,1301.36,220.05,0,0,830.72,263.49,350,0,350,0,0,0,0,0,CTF
